jxt	 T_yCCW24	 T_yCW24	 T_yCCW28	 T_yCW28	 T_yCCW32	 T_yCW32
RinPIP	62.0934	27.3949	51.8167	40.5882	25.6554	39.6612
LitPIP	78.2900	46.9486	95.0646	65.9758	42.3511	92.0204
ThDIP	150.1181	116.5116	141.5098	124.1339	172.3213	185.5946
IndDIP	37.3128	42.3453	29.2954	34.2582	79.3464	59.8110
MidDIP	12.8842	8.6251	11.9231	10.2583	11.2398	16.1630
RinDIP	22.7796	10.0501	19.0095	14.8902	9.4120	14.5501
LitDIP	29.6018	17.7515	35.9444	24.9458	16.0132	34.7933
ThMCP_a	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
IndMCP_a	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
MidMCP_a	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
RinMCP_a	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
LitMCP_a	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ThMCP_f	588.6381	456.5947	555.6062	487.2096	676.0611	728.6147
IndMCP_f	197.6895	224.0898	155.1756	181.5496	420.1407	317.1560
MidMCP_f	75.3283	50.4666	69.8506	59.9331	65.8294	94.5537
RinMMCP_fCP	122.8084	54.0840	102.7759	80.4495	50.7985	78.6366
LitMCP_f	145.2198	86.9990	176.6350	122.5640	78.5717	170.7605
ThPIP	384.3214	298.1103	362.7549	318.0988	441.3998	475.7120
IndPIP	85.0229	96.3773	66.7384	78.0814	180.6955	136.4035
MidPIP	32.5637	21.8162	30.1957	25.9085	28.4574	40.8747
RinPIP	61.9489	27.2819	51.8438	40.5816	25.6246	39.6671
LitPIP	78.2575	46.8829	95.1868	66.0485	42.3415	92.0211
ThDIP	150.0638	116.4015	141.6429	124.2063	172.3509	185.7486
IndDIP	37.3475	42.3350	29.3157	34.2983	79.3729	59.9171
MidDIP	12.8716	8.6234	11.9356	10.2410	11.2485	16.1567
RinDIP	22.7266	10.0086	19.0194	14.8878	9.4006	14.5523
LitDIP	29.5895	17.7266	35.9906	24.9732	16.0095	34.7936
ThMCP_a	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
IndMCP_a	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
MidMCP_a	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
RinMCP_a	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
LitMCP_a	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ThMCP_f	588.4338	456.1916	556.1379	487.5066	676.2027	729.2287
IndMCP_f	197.8779	224.0503	155.2837	181.7751	420.3012	317.7218
MidMCP_f	75.2533	50.4613	69.9244	59.8324	65.8815	94.5169
RinMMCP_fCP	122.5271	53.8655	102.8353	80.4358	50.7390	78.6486
LitMCP_f	145.1592	86.8790	176.8640	122.6976	78.5542	170.7651
ThPIP	384.1880	297.8472	363.1020	318.2927	441.4922	476.1129
IndPIP	85.1040	96.3603	66.7849	78.1784	180.7645	136.6468
MidPIP	32.5313	21.8140	30.2277	25.8650	28.4799	40.8588
RinPIP	61.8070	27.1717	51.8738	40.5747	25.5945	39.6731
LitPIP	78.2248	46.8182	95.3102	66.1205	42.3320	92.0236
ThDIP	150.0118	116.2987	141.7784	124.2820	172.3870	185.9052
IndDIP	37.3831	42.3276	29.3362	34.3409	79.4032	60.0240
MidDIP	12.8588	8.6225	11.9482	10.2238	11.2574	16.1504
RinDIP	22.6745	9.9682	19.0304	14.8852	9.3896	14.5545
LitDIP	29.5772	17.7022	36.0372	25.0005	16.0059	34.7946
ThMCP_a	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
IndMCP_a	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
MidMCP_a	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
RinMCP_a	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
LitMCP_a	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ThMCP_f	588.2383	455.8179	556.6794	487.8177	676.3703	729.8526
IndMCP_f	198.0711	224.0262	155.3924	182.0142	420.4822	318.2921
MidMCP_f	75.1769	50.4607	69.9988	59.7327	65.9344	94.4803
RinMMCP_fCP	122.2508	53.6525	102.9002	80.4214	50.6813	78.6609
LitMCP_f	145.0981	86.7610	177.0955	122.8299	78.5371	170.7731
ThPIP	384.0604	297.6032	363.4556	318.4958	441.6017	476.5202
IndPIP	85.1871	96.3499	66.8317	78.2813	180.8423	136.8921
MidPIP	32.4982	21.8137	30.2598	25.8219	28.5028	40.8429
RinPIP	61.6676	27.0643	51.9065	40.5674	25.5655	39.6794
LitPIP	78.1919	46.7546	95.4349	66.1918	42.3229	92.0279
ThDIP	149.9619	116.2035	141.9165	124.3613	172.4298	186.0642
IndDIP	37.4196	42.3230	29.3567	34.3861	79.4374	60.1317
MidDIP	12.8457	8.6224	11.9609	10.2067	11.2664	16.1442
RinDIP	22.6234	9.9288	19.0424	14.8826	9.3789	14.5568
LitDIP	29.5647	17.6781	36.0844	25.0274	16.0025	34.7962
ThMCP_a	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
IndMCP_a	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
MidMCP_a	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
RinMCP_a	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
LitMCP_a	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ThMCP_f	588.0517	455.4740	557.2308	488.1434	676.5644	730.4867
IndMCP_f	198.2693	224.0176	155.5018	182.2676	420.6840	318.8669
MidMCP_f	75.0992	50.4646	70.0737	59.6340	65.9883	94.4440
RinMMCP_fCP	121.9798	53.4451	102.9707	80.4063	50.6256	78.6737
LitMCP_f	145.0366	86.6450	177.3296	122.9608	78.5205	170.7844
ThPIP	383.9385	297.3786	363.8156	318.7085	441.7284	476.9343
IndPIP	85.2723	96.3462	66.8787	78.3902	180.9291	137.1393
MidPIP	32.4646	21.8154	30.2922	25.7792	28.5261	40.8272
RinPIP	61.5309	26.9596	51.9421	40.5598	25.5374	39.6858
LitPIP	78.1587	46.6921	95.5611	66.2623	42.3139	92.0340
ThDIP	149.9143	116.1158	142.0571	124.4443	172.4792	186.2259
IndDIP	37.4570	42.3214	29.3774	34.4340	79.4756	60.2403
MidDIP	12.8325	8.6231	11.9737	10.1899	11.2757	16.1380
RinDIP	22.5732	9.8904	19.0555	14.8798	9.3686	14.5591
LitDIP	29.5522	17.6545	36.1321	25.0541	15.9991	34.7985
ThMCP_a	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
IndMCP_a	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
MidMCP_a	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
RinMCP_a	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
LitMCP_a	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
