jxt	 T_yCCW24	 T_yCW24	 T_yCCW28	 T_yCW28	 T_yCCW32	 T_yCW32
RinMMCP_fCP	105.8801	76.7439	96.6142	90.1206	49.0618	74.8727
LitMCP_f	130.7498	85.8674	100.2807	149.8290	126.9478	157.6454
ThPIP	371.6159	307.4731	273.2692	444.5819	417.0132	490.0131
IndPIP	92.7330	91.4192	61.1151	136.9484	146.0487	155.1093
MidPIP	30.1578	24.8047	19.9497	24.9262	25.8144	37.6867
RinPIP	53.4097	38.7124	48.7356	45.4600	24.7485	37.7684
LitPIP	70.4597	46.2731	54.0403	80.7413	68.4109	84.9535
ThDIP	145.1028	120.0573	106.7019	173.5934	162.8289	191.3327
IndDIP	40.7342	40.1571	26.8456	60.1564	64.1539	68.1339
MidDIP	11.9206	9.8047	7.8856	9.8527	10.2038	14.8966
RinDIP	19.5939	14.2020	17.8792	16.6775	9.0792	13.8557
LitDIP	26.6412	17.4961	20.4329	30.5287	25.8665	32.1213
ThMCP_a	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
IndMCP_a	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
MidMCP_a	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
RinMCP_a	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
LitMCP_a	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ThMCP_f	569.6075	470.7846	419.4423	680.9661	639.0083	750.9999
IndMCP_f	215.5857	212.4572	142.3405	318.4047	339.7591	360.5914
MidMCP_f	69.7691	57.3657	46.2246	57.7524	59.7777	87.2628
RinMMCP_fCP	106.1467	76.5578	96.7696	90.2121	49.1354	75.1674
LitMCP_f	130.9103	85.9983	100.6185	149.7335	126.9255	157.7975
ThPIP	371.8963	307.3749	273.8536	444.6023	417.2081	490.3273
IndPIP	92.7198	91.3743	61.2183	136.9405	146.1247	155.0843
MidPIP	30.1605	24.7986	19.9825	24.9658	25.8413	37.7229
RinPIP	53.5442	38.6185	48.8140	45.5062	24.7856	37.9171
LitPIP	70.5462	46.3436	54.2223	80.6898	68.3988	85.0355
ThDIP	145.2123	120.0190	106.9301	173.6014	162.9049	191.4554
IndDIP	40.7284	40.1374	26.8910	60.1530	64.1873	68.1229
MidDIP	11.9217	9.8023	7.8986	9.8684	10.2144	14.9109
RinDIP	19.6432	14.1676	17.9079	16.6944	9.0929	13.9103
LitDIP	26.6739	17.5227	20.5017	30.5092	25.8619	32.1523
ThMCP_a	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
IndMCP_a	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
MidMCP_a	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
RinMCP_a	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
LitMCP_a	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ThMCP_f	570.0510	470.6538	420.3572	681.0082	639.3209	751.4914
IndMCP_f	215.5580	212.3631	142.5789	318.3918	339.9492	360.5351
MidMCP_f	69.7752	57.3526	46.3028	57.8464	59.8403	87.3476
RinMMCP_fCP	106.4192	76.3759	96.9286	90.3082	49.2089	75.4704
LitMCP_f	131.0748	86.1318	100.9693	149.6364	126.9022	157.9493
